Time,Time,PM10,area,period
2020-01-01 00:00:00,0,84.8,CS,pre
2020-01-01 01:00:00,1,83.2,CS,pre
2020-01-01 02:00:00,2,81.8,CS,pre
2020-01-01 03:00:00,3,83.2,CS,pre
2020-01-01 04:00:00,4,78.0,CS,pre
2020-01-01 05:00:00,5,78.2,CS,pre
2020-01-01 06:00:00,6,79.8,CS,pre
2020-01-01 07:00:00,7,78.2,CS,pre
2020-01-01 08:00:00,8,78.4,CS,pre
2020-01-01 09:00:00,9,76.4,CS,pre
2020-01-01 10:00:00,10,80.8,CS,pre
2020-01-01 11:00:00,11,79.2,CS,pre
2020-01-01 12:00:00,12,79.8,CS,pre
2020-01-01 13:00:00,13,75.6,CS,pre
2020-01-01 14:00:00,14,73.2,CS,pre
2020-01-01 15:00:00,15,72.0,CS,pre
2020-01-01 16:00:00,16,80.0,CS,pre
2020-01-01 17:00:00,17,82.0,CS,pre
2020-01-01 18:00:00,18,85.8,CS,pre
2020-01-01 19:00:00,19,86.2,CS,pre
2020-01-01 20:00:00,20,85.4,CS,pre
2020-01-01 21:00:00,21,82.6,CS,pre
2020-01-01 22:00:00,22,85.6,CS,pre
2020-01-01 23:00:00,23,80.8,CS,pre
2020-01-02 00:00:00,0,83.8,CS,pre
2020-01-02 01:00:00,1,81.6,CS,pre
2020-01-02 02:00:00,2,81.0,CS,pre
2020-01-02 03:00:00,3,79.0,CS,pre
2020-01-02 04:00:00,4,76.6,CS,pre
2020-01-02 05:00:00,5,75.0,CS,pre
2020-01-02 06:00:00,6,71.0,CS,pre
2020-01-02 07:00:00,7,69.8,CS,pre
2020-01-02 08:00:00,8,73.2,CS,pre
2020-01-02 09:00:00,9,77.2,CS,pre
2020-01-02 10:00:00,10,85.6,CS,pre
2020-01-02 11:00:00,11,85.2,CS,pre
2020-01-02 12:00:00,12,86.8,CS,pre
2020-01-02 13:00:00,13,87.4,CS,pre
2020-01-02 14:00:00,14,85.2,CS,pre
2020-01-02 15:00:00,15,83.6,CS,pre
2020-01-02 16:00:00,16,85.0,CS,pre
2020-01-02 17:00:00,17,89.0,CS,pre
2020-01-02 18:00:00,18,91.8,CS,pre
2020-01-02 19:00:00,19,90.6,CS,pre
2020-01-02 20:00:00,20,93.2,CS,pre
2020-01-02 21:00:00,21,92.4,CS,pre
2020-01-02 22:00:00,22,92.8,CS,pre
2020-01-02 23:00:00,23,92.4,CS,pre
2020-01-03 00:00:00,0,91.6,CS,pre
2020-01-03 01:00:00,1,91.0,CS,pre
2020-01-03 02:00:00,2,87.8,CS,pre
2020-01-03 03:00:00,3,84.4,CS,pre
2020-01-03 04:00:00,4,83.0,CS,pre
2020-01-03 05:00:00,5,81.2,CS,pre
2020-01-03 06:00:00,6,81.0,CS,pre
2020-01-03 07:00:00,7,81.8,CS,pre
2020-01-03 08:00:00,8,83.2,CS,pre
2020-01-03 09:00:00,9,86.8,CS,pre
2020-01-03 10:00:00,10,95.8,CS,pre
2020-01-03 11:00:00,11,92.0,CS,pre
2020-01-03 12:00:00,12,86.2,CS,pre
2020-01-03 13:00:00,13,83.2,CS,pre
2020-01-03 14:00:00,14,80.0,CS,pre
